"AÑO","DEPARTAMENTO","PROVINCIA","MUNICIPIO","No. ACCESOS FIJOS","POBLACIÓN DANE"
2022,"Tolima","SUR (TOLIMA)","PLANADAS",468,27126
2021,"Santander","COMUNERA","GALAN",10,2956
2022,"Narino","SUR (NARINO)","PUERRES",79,8793
2022,"Huila","SUR (HUILA)","ACEVEDO",2874,26455
2021,"Tolima","NORTE (TOLIMA)","FRESNO",497,31702
2021,"Boyaca","NORTE (BOYACA)","BOAVITA",176,5263
2021,"Cordoba","SAN JORGE (CORDOBA)","PUERTO LIBERTADOR",299,44226
2021,"Antioquia","NORTE (ANTIOQUIA)","DONMATIAS",4226,19839
2022,"Boyaca","CENTRO (BOYACA)","CHIVATA",130,2933
2021,"Sucre","MOJANA","GUARANDA",409,18464
2021,"Santander","VELEZ","SUCRE",26,7396
2021,"Boyaca","CENTRO (BOYACA)","CHIVATA",89,2913
2021,"Cordoba","COSTANERA","LOS CORDOBAS",203,19777
2021,"Choco","DARIEN","CARMEN DEL DARIEN",160,21107
2021,"Narino","CENTRO OCCIDENTE","SAMANIEGO",489,29576
2022,"Cauca","CENTRO (CAUCA)","PIENDAMO - TUNIA",1221,43035
2021,"Norte De Santander","CENTRO (NORTE DE SANTANDER)","SALAZAR",31,11250
2022,"Cundinamarca","SUMAPAZ","CABRERA",137,5322
2022,"Boyaca","OCCIDENTE (BOYACA)","TUNUNGUA",5,1625
2022,"Antioquia","SUROESTE","MONTEBELLO",476,6906
2022,"Antioquia","OCCIDENTE (ANTIOQUIA)","CANASGORDAS",1057,16097
2022,"Boyaca","RICAURTE","TINJACA",312,3469
2022,"Boyaca","RICAURTE","MONIQUIRA",105,23841
2022,"Narino","CENTRO OCCIDENTE","SANTACRUZ",55,11213
2021,"Bolivar","DEPRESION MOMPOSINA","HATILLO DE LOBA",38,12899
2022,"Risaralda","TRES - VERTIENTE DEL PACIFICO","PUEBLO RICO",463,16706
2021,"Santander","SOTO","TONA",277,7470
2022,"Cundinamarca","SABANA OCCIDENTE","SUBACHOQUE",2046,17036
2021,"Huila","NORTE (HUILA)","AIPE",560,16930
2021,"Vaupes","VAUPES","MITU",52,32301
2022,"Choco","DARIEN","CARMEN DEL DARIEN",156,21458
2021,"Cauca","SUR (CAUCA)","ALMAGUER",14,19031
2022,"Valle Del Cauca","NORTE (VALLE DEL CAUCA)","EL DOVIO",416,9155
2022,"Bogota D.c.","BOGOTA","BOGOTA  D.C.",2269823,7873316
2021,"Valle Del Cauca","CENTRO (VALLE DEL CAUCA)","BUGALAGRANDE",2445,25800
2022,"Norte De Santander","SUR OCCIDENTE","CHITAGA",24,13054
2021,"Caldas","ALTO ORIENTE","PENSILVANIA",639,20006
2022,"Cundinamarca","RIO NEGRO","VILLAGOMEZ",110,1950
2021,"Atlantico","SUR (ATLANTICO)","SANTA LUCIA",294,17379
2021,"Amazonas","AMAZONAS","PUERTO ARICA",2,1045
2022,"Antioquia","ORIENTE (ANTIOQUIA)","SAN VICENTE FERRER",2340,23140
2022,"Choco","SAN JUAN","SIPI",24,3479
2022,"Cordoba","COSTANERA","LOS CORDOBAS",137,19968
2022,"Narino","CENTRO OCCIDENTE","MALLAMA",685,9336
2022,"Quindio","FRIA","FILANDIA",976,12510
2021,"Sucre","SABANAS (SUCRE)","GALERAS",364,23582
2021,"Antioquia","OCCIDENTE (ANTIOQUIA)","SOPETRAN",4958,15672
2022,"Tolima","SUR (TOLIMA)","RONCESVALLES",218,5599
2022,"Putumayo","PUTUMAYO","SANTIAGO",224,7614
2021,"Santander","COMUNERA","SANTA HELENA DEL OPON",16,3490
2021,"Narino","SUR (NARINO)","IMUES",272,7812
2021,"Santander","SOTO","SURATA",73,4042
2021,"Boyaca","SUGAMUXI","TIBASOSA",1292,13637
2021,"Cesar","NORTE (CESAR)","LA PAZ",1804,30605
2022,"Cundinamarca","GUALIVA","LA VEGA",2038,19362
2021,"Bolivar","MONTES DE MARIA (BOLIVAR)","CORDOBA",198,17028
2022,"Cundinamarca","UBATE","SUTATAUSA",648,6718
2022,"Valle Del Cauca","CENTRO (VALLE DEL CAUCA)","TRUJILLO",671,19657
2021,"Huila","CENTRO (HUILA)","GIGANTE",1081,25658
2021,"Tolima","IBAGUE","PIEDRAS",158,6960
2022,"Antioquia","SUROESTE","TITIRIBI",1862,11183
2021,"Cundinamarca","SABANA OCCIDENTE","FACATATIVA",23781,156180
2021,"Caldas","ALTO ORIENTE","MANZANARES",585,18461
2021,"Antioquia","NORTE (ANTIOQUIA)","CAMPAMENTO",436,9494
2022,"Cundinamarca","BAJO MAGDALENA","GUADUAS",1379,34726
2021,"Meta","PIEDEMONTE","ACACIAS",18952,92906
2022,"Santander","COMUNERA","OIBA",729,10968
2021,"Magdalena","SANTA MARTA","SANTA MARTA",103942,540204
2022,"La Guajira","SUR (LA GUAJIRA)","DISTRACCION",173,15013
2022,"Cordoba","BAJO SINU","PURISIMA",454,18242
2021,"Cundinamarca","ORIENTE (CUNDINAMARCA)","FOSCA",215,6233
2022,"Cundinamarca","GUAVIO","LA CALERA",8983,34178
2022,"Bolivar","DIQUE BOLIVARENSE","CARTAGENA",196511,1043185
2022,"Tolima","NORTE (TOLIMA)","ARMERO",2279,13394
2021,"Cundinamarca","SUMAPAZ","SILVANIA",1889,23767
2022,"Cesar","CENTRAL","CHIMICHAGUA",474,38317
2021,"Boyaca","SUGAMUXI","NOBSA",1545,16799
2022,"Valle Del Cauca","SUR (VALLE DEL CAUCA)","CANDELARIA",15695,93717
2022,"Tolima","NORTE (TOLIMA)","PALOCABILDO",64,9681
2022,"Boyaca","LA LIBERTAD","LABRANZAGRANDE",8,3659
2022,"Santander","SOTO","LEBRIJA",4978,45198
2022,"Valle Del Cauca","SUR (VALLE DEL CAUCA)","LA CUMBRE",929,17222
2021,"Bogota D.c.","BOGOTA","BOGOTA  D.C.",2171274,7823334
2022,"Quindio","NORTE (QUINDIO)","CIRCASIA",6260,29329
2022,"Norte De Santander","OCCIDENTE (NORTE DE SANTANDER)","CACHIRA",22,12296
2022,"Cundinamarca","ORIENTE (CUNDINAMARCA)","CHOACHI",404,12306
2021,"Meta","RIO META","PUERTO LOPEZ",3868,32091
2022,"Boyaca","MARQUEZ","CIENEGA",220,4847
2021,"Boyaca","OCCIDENTE (BOYACA)","LA VICTORIA",7,1163
2022,"Santander","GUANENTA","SAN JOAQUIN",12,2280
2021,"Vichada","VICHADA","CUMARIBO",41,81958
2022,"Huila","NORTE (HUILA)","RIVERA",919,25855
2021,"Choco","DARIEN","UNGUIA",255,13761
2021,"Cesar","SUR (CESAR)","AGUACHICA",10231,121581
2022,"Amazonas","AMAZONAS","LA CHORRERA",69,3114
2022,"Meta","PIEDEMONTE","ACACIAS",20021,94160
2022,"Norte De Santander","SUR OCCIDENTE","MUTISCUA",9,4750
2022,"Arauca","ARAUCA","ARAUQUITA",1955,61285
2022,"Bolivar","DIQUE BOLIVARENSE","ARROYOHONDO",674,8694
2021,"Atlantico","SUR (ATLANTICO)","CANDELARIA",468,17204
2022,"Narino","COSTA","EL CHARCO",132,23007
2021,"Cundinamarca","ALMEIDAS","SUESCA",1142,18844
2021,"Huila","OCCIDENTE (HUILA)","LA PLATA",5844,64133
2021,"Cundinamarca","ORIENTE (CUNDINAMARCA)","QUETAME",130,5472
2021,"Boyaca","OCCIDENTE (BOYACA)","BRICENO",15,2237
2022,"Cesar","NOROCCIDENTAL","ASTREA",76,22498
2022,"Norte De Santander","CENTRO (NORTE DE SANTANDER)","LOURDES",144,4440
2021,"Antioquia","MAGDALENA MEDIO","CARACOLI",448,4715
2021,"Caqueta","CAQUETA","EL PAUJIL",1104,18826
2022,"Huila","NORTE (HUILA)","BARAYA",39,8758
2022,"Santander","SOTO","PIEDECUESTA",42632,188698
2021,"Cundinamarca","RIO NEGRO","PAIME",26,4452
2021,"Boyaca","ORIENTE (BOYACA)","ALMEIDA",8,1992
2021,"Cauca","NORTE (CAUCA)","PUERTO TEJADA",3550,43172
2022,"Choco","PACIFICO NORTE","BAHIA SOLANO",182,11082
2022,"Tolima","IBAGUE","ROVIRA",376,22244
2022,"Huila","OCCIDENTE (HUILA)","LA ARGENTINA",971,13714
2022,"Huila","NORTE (HUILA)","COLOMBIA",24,7591
2022,"Norte De Santander","NORTE (NORTE DE SANTANDER)","TIBU",1240,60935
2021,"Atlantico","CENTRO ORIENTE","PALMAR DE VARELA",1499,31364
2022,"Tolima","NEVADOS","HERVEO",20,7632
2022,"Tolima","ORIENTE (TOLIMA)","CUNDAY",59,8745
2022,"Narino","CENTRO OCCIDENTE","TUQUERRES",1709,46257
2021,"Antioquia","SUROESTE","LA PINTADA",1047,8373
2021,"Valle Del Cauca","SUR (VALLE DEL CAUCA)","YUMBO",18566,108433
2022,"Cundinamarca","SABANA OCCIDENTE","BOJACA",746,11440
