"AÑO","DEPARTAMENTO","PROVINCIA","MUNICIPIO","No. ACCESOS FIJOS","POBLACIÓN DANE"
2021,"Caqueta","CAQUETA","SAN VICENTE DEL CAGUAN",4576,53252
2022,"Santander","SOTO","SURATA",52,4069
2021,"Choco","SAN JUAN","NOVITA",39,9813
2021,"Antioquia","SUROESTE","TAMESIS",1514,16729
2022,"Antioquia","OCCIDENTE (ANTIOQUIA)","GIRALDO",598,5857
2021,"Antioquia","SUROESTE","BETULIA",1559,16178
2021,"Guainia","GUAINIA","PUERTO COLOMBIA",9,2043
2021,"Cauca","CENTRO (CAUCA)","CAJIBIO",223,43575
2022,"Huila","CENTRO (HUILA)","SUAZA",607,23300
2022,"Santander","MARES","SABANA DE TORRES",1010,34395
2021,"Narino","CENTRO (NARINO)","LA FLORIDA",225,10315
2022,"Huila","SUR (HUILA)","PALESTINA",169,11918
2021,"Cesar","SUR (CESAR)","SAN MARTIN",1178,29439
2022,"Sucre","MORROSQUILLO","PALMITO",62,15993
2021,"Boyaca","OCCIDENTE (BOYACA)","SABOYA",44,14171
2022,"Narino","NORTE (NARINO)","POLICARPA",524,10230
2021,"Valle Del Cauca","NORTE (VALLE DEL CAUCA)","ULLOA",162,5758
2021,"Cauca","SUR (CAUCA)","PIAMONTE",30,9489
2021,"Antioquia","URABA","APARTADO",28045,128054
2021,"Bolivar","MONTES DE MARIA (BOLIVAR)","SAN JACINTO",1290,25185
2021,"Santander","GUANENTA","ONZAGA",140,4201
2021,"Antioquia","NORDESTE","ANORI",1286,19192
2022,"Antioquia","OCCIDENTE (ANTIOQUIA)","DABEIBA",1647,24168
2022,"Cordoba","BAJO SINU","COTORRA",250,20139
2022,"Narino","COSTA","FRANCISCO PIZARRO",13,14772
2022,"Narino","SUR (NARINO)","GUALMATAN",151,7301
2022,"Boyaca","MARQUEZ","TIBANA",216,9479
2022,"Antioquia","OCCIDENTE (ANTIOQUIA)","LIBORINA",449,10466
2021,"Bolivar","MAGDALENA MEDIO BOLIVARENSE","SIMITI",449,19504
2022,"Norte De Santander","SUR OCCIDENTE","CACOTA",14,3122
2022,"Boyaca","CENTRO (BOYACA)","SAMACA",767,19437
2021,"Meta","ARIARI","PUERTO RICO",37,13292
2021,"Tolima","SUR (TOLIMA)","ATACO",55,19796
2021,"Cordoba","BAJO SINU","LORICA",4995,115769
2022,"Putumayo","PUTUMAYO","SAN FRANCISCO",92,6133
2022,"Antioquia","URABA","SAN JUAN DE URABA",821,21338
2022,"Choco","ATRATO","MEDIO ATRATO",32,12467
2022,"Casanare","CASANARE","RECETOR",11,1552
2021,"Quindio","CAPITAL (QUINDIO)","ARMENIA",90264,304700
2022,"Santander","MARES","BETULIA",21,6178
2021,"Antioquia","SUROESTE","AMAGA",3760,31548
2022,"Quindio","CAPITAL (QUINDIO)","CALARCA",11968,75532
2021,"Bolivar","MOJANA BOLIVARENSE","MONTECRISTO",367,17854
2021,"Antioquia","NORDESTE","AMALFI",1472,27155
2021,"Guainia","GUAINIA","MORICHAL",2,955
2022,"Caldas","ALTO ORIENTE","PENSILVANIA",644,20129
2021,"Antioquia","SUROESTE","VENECIA",2330,11991
2021,"Tolima","SUR (TOLIMA)","RIOBLANCO",604,23080
2021,"Antioquia","SUROESTE","CONCORDIA",1217,22137
2022,"Santander","GUANENTA","MOGOTES",22,10714
2022,"Antioquia","VALLE DEL ABURRA","BARBOSA",8714,55137
2021,"Valle Del Cauca","SUR (VALLE DEL CAUCA)","FLORIDA",5039,58161
2022,"Caqueta","CAQUETA","VALPARAISO",154,7225
2021,"Cundinamarca","GUAVIO","LA CALERA",8219,33112
2022,"Meta","ARIARI","EL DORADO",11,4199
2022,"Cundinamarca","RIO NEGRO","TOPAIPI",127,4546
2022,"Risaralda","DOS - VERTIENTE OCCIDENTAL","APIA",241,12612
2022,"Sucre","MOJANA","MAJAGUAL",1241,40954
2022,"Antioquia","VALLE DEL ABURRA","ITAGUI",86018,294328
2021,"Antioquia","SUROESTE","SANTA BARBARA",2766,27249
2022,"Santander","GARCIA ROVIRA","ENCISO",41,3595
2022,"Valle Del Cauca","CENTRO (VALLE DEL CAUCA)","RESTREPO",709,16390
2022,"Antioquia","BAJO CAUCA","CACERES",1504,30642
2022,"Santander","GUANENTA","ONZAGA",133,4237
2022,"Cundinamarca","SUMAPAZ","SAN BERNARDO",103,9390
2022,"Putumayo","PUTUMAYO","VALLE DEL GUAMUEZ",1874,35069
2021,"Santander","MARES","EL CARMEN DE CHUCURI",194,21977
2021,"Huila","OCCIDENTE (HUILA)","LA ARGENTINA",853,13550
2022,"Choco","SAN JUAN","NOVITA",47,10008
2022,"Caqueta","CAQUETA","LA MONTANITA",390,15368
2021,"Sucre","MORROSQUILLO","SAN ONOFRE",295,54540
2021,"Tolima","SURORIENTE","GUAMO",3636,34315
2021,"Putumayo","PUTUMAYO","SIBUNDOY",1670,16197
2022,"Choco","ATRATO","BAGADO",43,11433
2021,"Antioquia","MAGDALENA MEDIO","PUERTO TRIUNFO",1555,19045
2021,"Cesar","NORTE (CESAR)","AGUSTIN CODAZZI",5252,67084
2021,"Caldas","ORIENTE (CALDAS)","SAMANA",436,21054
2021,"Cauca","NORTE (CAUCA)","BUENOS AIRES",81,34244
2021,"Cundinamarca","ORIENTE (CUNDINAMARCA)","FOMEQUE",272,13076
2021,"Antioquia","VALLE DEL ABURRA","MEDELLIN",702797,2549008
2022,"Cordoba","SINU MEDIO","SAN PELAYO",904,54160
2022,"Boyaca","NEIRA","SAN LUIS DE GACENO",71,5742
2021,"Huila","OCCIDENTE (HUILA)","NATAGA",368,6797
2021,"Putumayo","PUTUMAYO","PUERTO GUZMAN",138,36900
2021,"Antioquia","BAJO CAUCA","CAUCASIA",16508,95274
2021,"Norte De Santander","SUR OCCIDENTE","PAMPLONA",6760,55036
2021,"Cundinamarca","GUAVIO","GAMA",266,3352
2022,"Boyaca","VALDERRAMA","SOCHA",526,8328
2022,"Magdalena","CENTRO (MAGDALENA)","ARIGUANI",1024,33252
2021,"Cundinamarca","UBATE","CARMEN DE CARUPA",273,8176
2021,"Antioquia","ORIENTE (ANTIOQUIA)","ALEJANDRIA",335,4845
2021,"Sucre","MONTES DE MARIA (SUCRE)","CHALAN",2,4659
2022,"Boyaca","CENTRO (BOYACA)","OICATA",187,3001
2022,"Caldas","CENTRO (CALDAS)","NEIRA",1685,21412
2021,"Magdalena","RIO","SALAMINA",1038,11657
2021,"Meta","PIEDEMONTE","SAN CARLOS DE GUAROA",189,13047
2022,"Bolivar","MONTES DE MARIA (BOLIVAR)","EL GUAMO",54,9314
2021,"Boyaca","GUTIERREZ","GUICAN",13,4402
2021,"Norte De Santander","ORIENTAL","SAN CAYETANO",185,7833
2022,"Boyaca","OCCIDENTE (BOYACA)","QUIPAMA",17,5141
2022,"Antioquia","SUROESTE","JERICO",3814,14211
2022,"La Guajira","SUR (LA GUAJIRA)","SAN JUAN DEL CESAR",2315,53731
2021,"La Guajira","NORTE (LA GUAJIRA)","MANAURE",603,93190
2022,"Valle Del Cauca","SUR (VALLE DEL CAUCA)","PALMIRA",83177,358091
2021,"Atlantico","NORTE (ATLANTICO)","SOLEDAD",104796,660674
2021,"Boyaca","MARQUEZ","RAMIRIQUI",879,10310
2022,"Boyaca","MARQUEZ","NUEVO COLON",85,5364
2022,"Norte De Santander","OCCIDENTE (NORTE DE SANTANDER)","SAN CALIXTO",17,14081
2021,"Magdalena","RIO","ZAPAYAN",42,10631
2022,"Norte De Santander","ORIENTAL","SAN JOSE DE CUCUTA",126934,798411
2021,"Antioquia","ORIENTE (ANTIOQUIA)","RIONEGRO",41598,143102
2021,"Narino","COSTA","TUMACO - SAN ANDRES DE TUMACO",13256,262567
2021,"Cordoba","SAN JORGE (CORDOBA)","PUEBLO NUEVO",1409,37587
2022,"Cundinamarca","MAGDALENA CENTRO","CHAGUANI",19,4634
2022,"Caldas","NORTE (CALDAS)","ARANZAZU",264,10735
2022,"Cundinamarca","SABANA CENTRO","COGUA",2399,25209
2022,"Tolima","SUR (TOLIMA)","RIOBLANCO",529,23197
2022,"Cordoba","SAN JORGE (CORDOBA)","PUEBLO NUEVO",2351,37956
2021,"Bolivar","LOBA","RIO VIEJO",690,11192
2022,"Caldas","ALTO OCCIDENTE","LA MERCED",153,6209
2021,"Cauca","SUR (CAUCA)","PATIA",274,38152
2021,"Quindio","CORDILLERANOS","GENOVA",63,7633
2021,"Antioquia","ORIENTE (ANTIOQUIA)","COCORNA",3990,16062
2022,"Caldas","BAJO OCCIDENTE","ANSERMA",4137,37154
2022,"Choco","ATRATO","EL CARMEN DE ATRATO",152,8932
2021,"Tolima","NEVADOS","VENADILLO",186,13083
2021,"Bolivar","DIQUE BOLIVARENSE","SOPLAVIENTO",251,11269
2021,"Cordoba","SINU MEDIO","CIENAGA DE ORO",1921,61898
2021,"Santander","GARCIA ROVIRA","CARCASI",12,4350
2021,"Narino","SUR (NARINO)","CONTADERO",300,7470
2022,"Atlantico","CENTRO ORIENTE","POLONUEVO",348,19840
2021,"Cundinamarca","ALMEIDAS","MANTA",77,3983
2022,"Boyaca","LENGUPA","BERBEO",34,1653
2022,"Risaralda","UNO - VERTIENTE ORIENTAL","PEREIRA",137803,480739
2022,"Caldas","BAJO OCCIDENTE","SAN JOSE",138,4882
2022,"Norte De Santander","SUR ORIENTE","HERRAN",87,7683
2021,"Risaralda","TRES - VERTIENTE DEL PACIFICO","MISTRATO",451,17462
2021,"Choco","SAN JUAN","CERTEGUI",181,5864
2022,"Norte De Santander","SUR ORIENTE","CHINACOTA",1402,19473
2021,"La Guajira","SUR (LA GUAJIRA)","EL MOLINO",345,8047
2022,"Santander","GARCIA ROVIRA","CAPITANEJO",102,5648
2021,"Boyaca","NEIRA","SAN LUIS DE GACENO",23,5683
2021,"Cesar","NORTE (CESAR)","MANAURE",253,11137
2021,"La Guajira","NORTE (LA GUAJIRA)","RIOHACHA",28528,212481
2022,"Antioquia","MAGDALENA MEDIO","CARACOLI",421,4744
2021,"Meta","ARIARI","MESETAS",458,11747
2022,"Casanare","CASANARE","TRINIDAD",392,14645
2022,"Cundinamarca","ORIENTE (CUNDINAMARCA)","GUTIERREZ",15,3807
2021,"Cauca","NORTE (CAUCA)","CORINTO",136,26261
2022,"Santander","VELEZ","BARBOSA",5192,32613
2022,"Boyaca","LENGUPA","CAMPOHERMOSO",650,3231
2021,"Santander","VELEZ","FLORIAN",23,5896
2022,"Boyaca","CENTRO (BOYACA)","SIACHOQUE",247,7056
2021,"La Guajira","SUR (LA GUAJIRA)","LA JAGUA DEL PILAR",10,3883
2022,"Boyaca","NORTE (BOYACA)","SAN MATEO",122,3504
2021,"Norte De Santander","SUR ORIENTE","RAGONVALIA",172,6521
2021,"Santander","COMUNERA","HATO",58,2359
2022,"Bolivar","MAGDALENA MEDIO BOLIVARENSE","MORALES",1014,24345
2021,"Sucre","MOJANA","MAJAGUAL",964,40322
2021,"Boyaca","CENTRO (BOYACA)","CHIQUIZA",10,4853
2022,"Tolima","IBAGUE","COELLO",101,8474
2021,"Vichada","VICHADA","LA PRIMAVERA",23,10556
2021,"Sucre","MONTES DE MARIA (SUCRE)","SINCELEJO",43138,301745
2021,"Bolivar","DIQUE BOLIVARENSE","ARROYOHONDO",223,8602
2021,"Caldas","BAJO OCCIDENTE","RISARALDA",647,11146
2022,"Vaupes","VAUPES","TARAIRA",13,2481
2021,"Boyaca","CENTRO (BOYACA)","SOTAQUIRA",342,8510
2022,"Cundinamarca","ALTO MAGDALENA","JERUSALEN",48,2515
2021,"Santander","GARCIA ROVIRA","SAN ANDRES",22,8929
2021,"Boyaca","RICAURTE","RAQUIRA",192,8248
2022,"Casanare","CASANARE","PORE",217,12487
2021,"Bolivar","DEPRESION MOMPOSINA","CICUCO",217,14405
2022,"Antioquia","ORIENTE (ANTIOQUIA)","PENOL",8501,22217
2021,"Casanare","CASANARE","LA SALINA",17,1377
2022,"Sucre","SABANAS (SUCRE)","BUENAVISTA",178,11094
2021,"Boyaca","CENTRO (BOYACA)","SORA",28,3145
2022,"Magdalena","RIO","SITIONUEVO",631,30077
2022,"Santander","COMUNERA","CONFINES",216,3221
2021,"Cundinamarca","MEDINA","MEDINA",197,8544
2021,"Valle Del Cauca","CENTRO (VALLE DEL CAUCA)","GUACARI",1691,35105
2022,"Cundinamarca","ALTO MAGDALENA","TOCAIMA",330,17690
2022,"Cundinamarca","GUALIVA","SUPATA",274,5833
2022,"Santander","VELEZ","GUEPSA",307,5314
2021,"Meta","ARIARI","VISTAHERMOSA",61,18514
2022,"Cundinamarca","TEQUENDAMA","VIOTA",467,14746
2021,"Narino","CENTRO OCCIDENTE","OSPINA",268,7294
2021,"Boyaca","TUNDAMA","FLORESTA",120,3362
2021,"Meta","ARIARI","FUENTE DE ORO",491,12823
2021,"Risaralda","DOS - VERTIENTE OCCIDENTAL","LA CELIA",494,7612
2021,"Choco","ATRATO","BOJAYA",203,12982
2021,"Cundinamarca","SUMAPAZ","PASCA",411,9877
2022,"Narino","COSTA","MAGUI",267,25852
2021,"Santander","VELEZ","BARBOSA",4870,32328
2021,"Atlantico","NORTE (ATLANTICO)","MALAMBO",13293,139494
2021,"Santander","VELEZ","VELEZ",865,25586
2021,"Tolima","SUR (TOLIMA)","ORTEGA",270,34428
2022,"Tolima","IBAGUE","FLANDES",5873,29954
2021,"Boyaca","RICAURTE","ARCABUCO",361,6140
2021,"Narino","SUR (NARINO)","CUMBAL",346,38175
2021,"Antioquia","ORIENTE (ANTIOQUIA)","PENOL",7582,22008
2022,"Risaralda","DOS - VERTIENTE OCCIDENTAL","QUINCHIA",570,27812
2021,"Antioquia","URABA","MUTATA",1123,14639
2021,"Cundinamarca","SOACHA","SIBATE",6742,37259
2022,"Antioquia","OCCIDENTE (ANTIOQUIA)","ARMENIA",993,5314
2021,"Sucre","MOJANA","SUCRE",70,31637
2021,"Risaralda","DOS - VERTIENTE OCCIDENTAL","APIA",236,12559
2021,"Antioquia","ORIENTE (ANTIOQUIA)","SAN VICENTE FERRER",3450,22934
2021,"Tolima","SURORIENTE","DOLORES",77,8533
2021,"Vichada","VICHADA","SANTA ROSALIA",12,4367
2022,"Antioquia","ORIENTE (ANTIOQUIA)","SAN LUIS",3202,13564
2021,"Risaralda","DOS - VERTIENTE OCCIDENTAL","QUINCHIA",598,27755
2021,"Santander","SOTO","GIRON",36466,171211
2021,"Bolivar","LOBA","ALTOS DEL ROSARIO",292,11832
2022,"Boyaca","ORIENTE (BOYACA)","LA CAPILLA",9,2796
2021,"Huila","SUR (HUILA)","OPORAPA",680,12238
2022,"Narino","CENTRO OCCIDENTE","SAPUYES",167,7582
2021,"Cundinamarca","SABANA CENTRO","SOPO",4277,28868
2021,"Risaralda","DOS - VERTIENTE OCCIDENTAL","SANTUARIO",1568,12785
2022,"Boyaca","TUNDAMA","TUTAZA",34,2131
2022,"Valle Del Cauca","NORTE (VALLE DEL CAUCA)","OBANDO",940,12582
2022,"Tolima","SURORIENTE","PRADO",140,8709
2021,"Caldas","BAJO OCCIDENTE","BELALCAZAR",164,10775
2021,"Caldas","CENTRO (CALDAS)","PALESTINA",1238,15795
2021,"Atlantico","CENTRO ORIENTE","POLONUEVO",352,19606
2022,"Narino","CENTRO (NARINO)","CONSACA",175,14285
2022,"Valle Del Cauca","ORIENTE (VALLE DEL CAUCA)","CAICEDONIA",2651,29454
2022,"Santander","GUANENTA","ENCINO",11,2688
2022,"Arauca","ARAUCA","SARAVENA",5989,63196
2021,"Narino","NORTE (NARINO)","BUESACO",957,24583
2022,"Antioquia","ORIENTE (ANTIOQUIA)","CONCEPCION",457,4965
2022,"Cundinamarca","UBATE","GUACHETA",1569,15007
2022,"Narino","CENTRO OCCIDENTE","SAMANIEGO",249,29744
2021,"Arauca","ARAUCA","FORTUL",1177,22903
2021,"Boyaca","SUGAMUXI","IZA",198,2032
2022,"Narino","NORTE (NARINO)","CUMBITARA",31,6113
2022,"Santander","GUANENTA","JORDAN",6,1376
2021,"Cesar","CENTRAL","LA JAGUA DE IBIRICO",3890,51603
2021,"Santander","VELEZ","BOLIVAR",67,11604
2021,"Bolivar","MOJANA BOLIVARENSE","TIQUISIO",235,19131
2022,"Tolima","IBAGUE","VALLE DE SAN JUAN",13,5481
2021,"Cordoba","SINU MEDIO","SAN CARLOS",345,28363
2021,"Cordoba","SINU MEDIO","SAN PELAYO",1179,53670
2021,"Meta","ARIARI","GRANADA",2730,72836
2021,"Boyaca","RICAURTE","SANTA SOFIA",41,3309
2022,"Amazonas","AMAZONAS","LETICIA",892,53201
2022,"Choco","ATRATO","RIO QUITO",769,8822
2022,"Bolivar","DIQUE BOLIVARENSE","CLEMENCIA",911,15912
2022,"Guainia","GUAINIA","INIRIDA",764,36024
2022,"Santander","COMUNERA","SUAITA",139,10514
2021,"Narino","CENTRO OCCIDENTE","LINARES",195,10378
2021,"Cauca","NORTE (CAUCA)","VILLA RICA",125,21528
2021,"Narino","NORTE (NARINO)","CUMBITARA",27,6067
2021,"Antioquia","OCCIDENTE (ANTIOQUIA)","DABEIBA",1627,23950
2022,"Sucre","SABANAS (SUCRE)","LOS PALMITOS",904,24335
2022,"Santander","MARES","PUERTO WILCHES",1647,35239
2021,"Norte De Santander","CENTRO (NORTE DE SANTANDER)","SANTIAGO",13,3741
2022,"Boyaca","SUGAMUXI","MONGUA",69,4828
2021,"Caldas","CENTRO (CALDAS)","MANIZALES",97279,449434
2021,"Bolivar","DIQUE BOLIVARENSE","SANTA ROSA",304,22327
2022,"Santander","COMUNERA","GALAN",7,2986
2022,"Antioquia","MAGDALENA MEDIO","PUERTO BERRIO",8573,41480
2022,"Atlantico","CENTRO ORIENTE","SANTO TOMAS",2339,32717
2021,"Cundinamarca","SUMAPAZ","VENECIA",14,4576
2021,"Huila","NORTE (HUILA)","NEIVA",92876,371590
2022,"Santander","VELEZ","CHIPATA",61,5273
2022,"Bolivar","LOBA","EL PENON",18,8006
2021,"Narino","NORTE (NARINO)","LEIVA",52,10006
2021,"Antioquia","NORTE (ANTIOQUIA)","BELMIRA",575,6235
2022,"Santander","COMUNERA","SIMACOTA",22,10598
2021,"Quindio","CAPITAL (QUINDIO)","CALARCA",12486,75155
2022,"Bolivar","DEPRESION MOMPOSINA","SANTA CRUZ DE MOMPOX",3980,47927
2022,"Santander","GUANENTA","PINCHOTE",501,5407
2022,"Casanare","CASANARE","SACAMA",134,2286
2022,"Cordoba","SINU MEDIO","CIENAGA DE ORO",1704,62549
2022,"Boyaca","ORIENTE (BOYACA)","ALMEIDA",6,1997
2022,"Boyaca","CENTRO (BOYACA)","CHIQUIZA",31,4913
2022,"Antioquia","SUROESTE","ANGELOPOLIS",566,6010
2022,"Huila","OCCIDENTE (HUILA)","TESALIA",1039,11318
2022,"Valle Del Cauca","NORTE (VALLE DEL CAUCA)","ANSERMANUEVO",1271,18207
2021,"Boyaca","CENTRO (BOYACA)","MOTAVITA",220,5826
2021,"Narino","COSTA","MOSQUERA",69,12393
2022,"Caqueta","CAQUETA","EL DONCELLO",1221,20042
2021,"Boyaca","ORIENTE (BOYACA)","GUAYATA",90,3425
2022,"Valle Del Cauca","CENTRO (VALLE DEL CAUCA)","CALIMA",3000,19269
2022,"Boyaca","CENTRO (BOYACA)","TUTA",470,8742
2021,"Bolivar","DIQUE BOLIVARENSE","SAN CRISTOBAL",185,8534
2021,"Cauca","CENTRO (CAUCA)","MORALES",89,40770
2021,"Huila","CENTRO (HUILA)","AGRADO",172,9167
2022,"Antioquia","NORTE (ANTIOQUIA)","YARUMAL",4943,43702
2021,"Norte De Santander","NORTE (NORTE DE SANTANDER)","EL TARRA",234,22740
2022,"Boyaca","SUGAMUXI","AQUITANIA",786,16141
2022,"Tolima","NORTE (TOLIMA)","AMBALEMA",179,6819
2021,"Tolima","SUR (TOLIMA)","NATAGAIMA",717,14750
2021,"Boyaca","LENGUPA","CAMPOHERMOSO",20,3189
2021,"Antioquia","NORTE (ANTIOQUIA)","SAN ANDRES DE CUERQUIA",633,7478
2022,"Antioquia","VALLE DEL ABURRA","GIRARDOTA",10793,54986
2021,"Cauca","SUR (CAUCA)","SUCRE",14,9736
2022,"Cundinamarca","GUALIVA","VERGARA",33,7559
2021,"Santander","MARES","SABANA DE TORRES",1000,34069
2022,"Bolivar","DEPRESION MOMPOSINA","SAN FERNANDO",9,13611
2021,"Quindio","VALLE","MONTENEGRO",5892,37847
2022,"Antioquia","OCCIDENTE (ANTIOQUIA)","SABANALARGA",452,9491
2021,"Meta","ARIARI","EL DORADO",11,4128
2022,"Cundinamarca","GUALIVA","VILLETA",6220,30605
2022,"Cesar","SUR (CESAR)","RIO DE ORO",24,18902
2021,"Narino","SUR (NARINO)","POTOSI",22,10578
2022,"La Guajira","SUR (LA GUAJIRA)","LA JAGUA DEL PILAR",14,3973
2022,"Cundinamarca","TEQUENDAMA","CACHIPAY",161,11247
2021,"Casanare","CASANARE","CHAMEZA",77,2436
2022,"Boyaca","OCCIDENTE (BOYACA)","BRICENO",12,2274
2021,"Narino","SUR (NARINO)","PUERRES",88,8733
2022,"Antioquia","NORDESTE","VEGACHI",741,12337
2021,"Magdalena","RIO","REMOLINO",272,12399
2021,"Antioquia","SUROESTE","PUEBLORRICO",301,8959
2022,"Sucre","MOJANA","SUCRE",27,32124
2021,"Tolima","IBAGUE","ESPINAL",15543,73986
2022,"Narino","CENTRO OCCIDENTE","LINARES",205,10453
2021,"Antioquia","OCCIDENTE (ANTIOQUIA)","LIBORINA",445,10361
2021,"La Guajira","NORTE (LA GUAJIRA)","DIBULLA",288,43892
2022,"Antioquia","OCCIDENTE (ANTIOQUIA)","ABRIAQUI",149,2804
2021,"Boyaca","SUGAMUXI","SOGAMOSO",30470,133585
2021,"Cundinamarca","GUALIVA","VERGARA",86,7321
2021,"Norte De Santander","SUR OCCIDENTE","SILOS",49,6871
2021,"Narino","SUR (NARINO)","CUASPUD CARLOSAMA",9,9511
2021,"Huila","NORTE (HUILA)","RIVERA",719,25563
2021,"Boyaca","CENTRO (BOYACA)","SORACA",367,6228
2022,"Boyaca","LENGUPA","MIRAFLORES",831,9301
2022,"La Guajira","SUR (LA GUAJIRA)","HATONUEVO",769,23409
2022,"Santander","GUANENTA","ARATOCA",497,8580
2022,"Cundinamarca","ORIENTE (CUNDINAMARCA)","FOMEQUE",208,13495
2022,"Cundinamarca","ALTO MAGDALENA","AGUA DE DIOS",1675,13182
2022,"Boyaca","OCCIDENTE (BOYACA)","LA VICTORIA",15,1173
2021,"Antioquia","OCCIDENTE (ANTIOQUIA)","EBEJICO",1872,12486
2021,"Tolima","NEVADOS","MURILLO",14,4386
2021,"Guainia","GUAINIA","BARRANCOMINAS",8,10289
2022,"Bolivar","MOJANA BOLIVARENSE","SAN JACINTO DEL CAUCA",12,10907
2022,"Norte De Santander","CENTRO (NORTE DE SANTANDER)","ARBOLEDAS",289,10796
2021,"Boyaca","CENTRO (BOYACA)","TUNJA",49636,181729
2021,"Amazonas","AMAZONAS","LA PEDRERA",2,4061
2022,"Tolima","ORIENTE (TOLIMA)","MELGAR",7641,37828
2022,"Cesar","SUR (CESAR)","SAN ALBERTO",2311,29611
2022,"Choco","SAN JUAN","TADO",650,19396
2021,"Antioquia","VALLE DEL ABURRA","LA ESTRELLA",22178,75609
2021,"Norte De Santander","ORIENTAL","PUERTO SANTANDER",1834,9591
2022,"Cundinamarca","SABANA OCCIDENTE","MADRID",38573,130375
2022,"Narino","NORTE (NARINO)","LA UNION",422,33028
2022,"Risaralda","DOS - VERTIENTE OCCIDENTAL","BELEN DE UMBRIA",2295,25216
2022,"Antioquia","ORIENTE (ANTIOQUIA)","NARINO",460,10629
2021,"Valle Del Cauca","NORTE (VALLE DEL CAUCA)","ARGELIA",204,5484
2021,"La Guajira","SUR (LA GUAJIRA)","BARRANCAS",1871,40884
2022,"Narino","COSTA","MOSQUERA",66,12461
2021,"Tolima","IBAGUE","COELLO",34,8417
2021,"Vaupes","VAUPES","CARURU",7,3294
2022,"Meta","PIEDEMONTE","SAN LUIS DE CUBARRAL",218,7592
2022,"Boyaca","NORTE (BOYACA)","SOATA",255,9295
2021,"Valle Del Cauca","CENTRO (VALLE DEL CAUCA)","TRUJILLO",834,19594
2021,"Antioquia","NORTE (ANTIOQUIA)","GOMEZ PLATA",854,10117
2021,"Antioquia","MAGDALENA MEDIO","YONDO",1545,20228
2022,"Boyaca","RICAURTE","SANTA SOFIA",65,3332
2021,"Arauca","ARAUCA","SARAVENA",5341,61787
2022,"Cundinamarca","SOACHA","SOACHA",162981,758113
2021,"Narino","NORTE (NARINO)","SAN PABLO",418,15620
2021,"Guainia","GUAINIA","CACAHUAL",8,932
2022,"Meta","PIEDEMONTE","BARRANCA DE UPIA",224,6986
2021,"Cundinamarca","SABANA CENTRO","CAJICA",27665,92325
2021,"Tolima","ORIENTE (TOLIMA)","ICONONZO",156,12395
2021,"La Guajira","SUR (LA GUAJIRA)","DISTRACCION",240,14637
2021,"Meta","ARIARI","PUERTO LLERAS",19,10963
2022,"Tolima","NEVADOS","VENADILLO",208,13137
2022,"Cundinamarca","TEQUENDAMA","QUIPILE",27,6917
2022,"Magdalena","SUR (MAGDALENA)","SAN ZENON",71,13125
2022,"Meta","ARIARI","PUERTO LLERAS",23,11125
2022,"Santander","GUANENTA","OCAMONTE",13,6080
2021,"Cundinamarca","SABANA OCCIDENTE","EL ROSAL",630,23894
2022,"Antioquia","SUROESTE","CONCORDIA",1349,22352
2022,"Choco","PACIFICO NORTE","JURADO",142,7274
2021,"Santander","GARCIA ROVIRA","MACARAVITA",13,2203
2022,"Guainia","GUAINIA","BARRANCOMINAS",15,10569
2022,"Valle Del Cauca","CENTRO (VALLE DEL CAUCA)","GINEBRA",3104,24831
2021,"Santander","SOTO","CHARTA",64,2938
2021,"Cundinamarca","GUAVIO","GUATAVITA",317,6893
2021,"Antioquia","VALLE DEL ABURRA","BARBOSA",8268,54639
2022,"Caldas","NORTE (CALDAS)","SALAMINA",1198,19855
2022,"Bolivar","MONTES DE MARIA (BOLIVAR)","ZAMBRANO",1114,12672
2021,"Sucre","MORROSQUILLO","COVENAS",2322,20597
2021,"Valle Del Cauca","SUR (VALLE DEL CAUCA)","PRADERA",5744,49046
2021,"Tolima","IBAGUE","ROVIRA",146,22141
2021,"Narino","NORTE (NARINO)","EL TABLON DE GOMEZ",263,14805
2021,"Cesar","NOROCCIDENTAL","EL PASO",666,41378
2022,"Tolima","SUR (TOLIMA)","ATACO",235,19890
2021,"Boyaca","LA LIBERTAD","LABRANZAGRANDE",13,3615
2021,"Cauca","SUR (CAUCA)","BOLIVAR",29,38478
2022,"Atlantico","OCCIDENTAL","PIOJO",13,7207
2022,"Santander","GUANENTA","BARICHARA",864,11000
2022,"Santander","SOTO","BUCARAMANGA",169045,610125
2022,"Cundinamarca","SABANA OCCIDENTE","ZIPACON",29,5282
2022,"Valle Del Cauca","NORTE (VALLE DEL CAUCA)","CARTAGO",25973,142456
2021,"Antioquia","ORIENTE (ANTIOQUIA)","SAN LUIS",2282,13434
2022,"Narino","NORTE (NARINO)","BELEN",2513,6595
2021,"Caqueta","CAQUETA","CURILLO",35,7926
2021,"Cordoba","COSTANERA","PUERTO ESCONDIDO",335,25002
2022,"Santander","SOTO","LOS SANTOS",238,15215
2021,"Cundinamarca","TEQUENDAMA","VIOTA",775,14289
2022,"Amazonas","AMAZONAS","PUERTO NARINO",11,10587
2022,"Antioquia","SUROESTE","SALGAR",595,18981
2021,"Santander","GARCIA ROVIRA","MOLAGAVITA",64,4188
2022,"Magdalena","RIO","EL PINON",171,25042
2021,"Valle Del Cauca","NORTE (VALLE DEL CAUCA)","EL DOVIO",487,9120
2022,"Cundinamarca","RIO NEGRO","PACHO",4252,27468
